"countyfips"	"sort"	"popch2023"	"pop_pctch2023"	"nat2023"	"int_mig2023"	"dom_mig2023"	"STNAME"	"CTYNAME"	"ESTIMATESBASE2020"	"POPESTIMATE2023"	"bach19"	"bach22"	"pop25_19"	"pop25_22"	"cont_code"	"party"	"pctwon"	"RUCC_2023"	"RUCC23_desc"
"04013"	105	160769	"4"	27067	36222	96830	"Arizona"	"Maricopa County"	4425102	4585871	1011532	1118210	3017076	3096494	"1"	"DEMOCRATIC"	50.3	"1"	"Metro - Counties in metro areas of 1 million population or more"
"48085"	2568	128892	"12"	20880	18353	90287	"Texas"	"Collin County"	1066467	1195359	359542	435393	684124	770907	"1"	"REPUBLICAN"	51.4	"1"	"Metro - Counties in metro areas of 1 million population or more"
"48201"	2626	104003	"2"	97733	93864	-88500	"Texas"	"Harris County"	4731122	4835125	976808	1053032	3033489	3085911	"1"	"DEMOCRATIC"	56	"1"	"Metro - Counties in metro areas of 1 million population or more"
"48121"	2586	101284	"11"	18845	8595	74099	"Texas"	"Denton County"	906419	1007703	271916	327992	589252	660143	"2"	"REPUBLICAN"	53.2	"1"	"Metro - Counties in metro areas of 1 million population or more"
"48157"	2604	93981	"11"	15021	15493	64327	"Texas"	"Fort Bend County"	822797	916778	241817	289858	522896	576638	"2"	"DEMOCRATIC"	54.7	"1"	"Metro - Counties in metro areas of 1 million population or more"
"12105"	375	93282	"13"	-1193	6589	88012	"Florida"	"Polk County"	725048	818330	104640	123446	504283	545515	"3"	"REPUBLICAN"	56.7	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"48339"	2695	90894	"15"	10462	5319	75568	"Texas"	"Montgomery County"	620460	711354	134959	180345	398614	446315	"2"	"REPUBLICAN"	71.2	"1"	"Metro - Counties in metro areas of 1 million population or more"
"48491"	2771	88185	"14"	12394	5303	71076	"Texas"	"Williamson County"	609006	697191	164536	230000	394429	457034	"2"	"DEMOCRATIC"	49.7	"1"	"Metro - Counties in metro areas of 1 million population or more"
"48029"	2540	78363	"4"	27431	12867	36254	"Texas"	"Bexar County"	2009316	2087679	363547	428849	1292560	1337500	"1"	"DEMOCRATIC"	58.2	"1"	"Metro - Counties in metro areas of 1 million population or more"
"12057"	350	75785	"5"	12128	26588	36344	"Florida"	"Hillsborough County"	1459779	1535564	353553	396672	1017078	1045746	"1"	"DEMOCRATIC"	52.9	"1"	"Metro - Counties in metro areas of 1 million population or more"
"06065"	220	74260	"3"	17870	6323	49251	"California"	"Riverside County"	2418182	2492442	381291	409850	1620917	1640068	"1"	"DEMOCRATIC"	53	"1"	"Metro - Counties in metro areas of 1 million population or more"
"12071"	357	73759	"10"	-5977	9409	70583	"Florida"	"Lee County"	760814	834573	169403	199522	584326	621503	"3"	"REPUBLICAN"	59.2	"2"	"Metro - Counties in metro areas of 250,000 to 1 million population"
"48439"	2745	72324	"3"	34587	19996	15808	"Texas"	"Tarrant County"	2110623	2182947	462624	481984	1358155	1400304	"1"	"DEMOCRATIC"	49.3	"1"	"Metro - Counties in metro areas of 1 million population or more"
"12101"	373	71103	"13"	-7298	3201	75524	"Florida"	"Pasco County"	561893	632996	102205	127810	402199	442301	"2"	"REPUBLICAN"	59.5	"1"	"Metro - Counties in metro areas of 1 million population or more"
